Year,Title,Abstract,Keywords
1992,The observer's point of view: An extension of symbolic projections,"Spatial reasoning is normally concerned with various methods for reasoning in images that in many cases are symbolic, like for instance, maps. The goal is to identify complex object relations by means of methods operating on a high abstraction level. Several approaches to spatial reasoning have been proposed and one such method is symbolic projections which is closely related to qualitative reasoning. The method that will be discussed here is an extension of symbolic projections that specifically is concerned with the observer's point of view. In other words, the work presented here is concerned with qualitative methods for determination of, among other things, directions, distances and other object relations seen from the observer's perspective, i.e. the projections are in the majority of cases concerned with a singular point.","Slope Coefficient, Point Object, Supporting Line, Spatial Reasoning, Extended Object"
1992,Reasoning about gradual changes of topological relationships,"Geographic objects and phenomena may gradually change their location, orientation, shape, and size over time. A qualitative change occurs if the deformation of an object affects its topological relationship with respect to another object. The observation of such changes is particularly interesting, because qualitative changes frequently require different decisions or trigger new actions. Investigations of a closed set of mutually exclusive binary topological relationships led to a formal model to determine for each topological relationship the relationships closest to it. Applied to the entire set of binary topological relationships between spatial regions, this model describes a partial order over topological relationships and provides a measure to assess how far two relationships are apart from each other. The changes to the binary topological relationship caused by such deformations as translation, rotation, reduction, and expansion of an object are mapped onto this graph. The graphs show characteristic traverses for each kind of deformation. Using these characteristic traverses as knowledge about deformations, one can infer from multiple observations the kind of deformation that caused the change and predict the next topological relationship. Particularly, it provides answers to three kinds of qualitative space-time inferences: (1) Given a process and a state, what is the next most likely state? (2) Given an ordered pair of states, what process may have occurred? (3) Given an ordered pair of states and a process, in what states must the two objects have been in between?","Topological Change, Geographic Space, Topological Relation, Logical Relationship, Topological Relationship"
1992,The meaning of “neighbour”,"Traditional vector and raster spatial models as used in many computer systems are examined to determine what is meant by the term “neighbour”. The limitations are examined and the Voronoi spatial model is proposed as a consistent alternative to both. It is then asked whether this new computer model of space bears any resemblance to human spatial reasoning and perception processes. Examination of the work of Blum, Ahuja, Tuceryan, Serra and others suggests that the Voronoi model may indeed relate to visual perception and the concept of “neighbour”.","Voronoi Diagram, Medial Axis, Boundary Segment, Spatial Reasoning, Voronoi Region"
1992,A hierarchical triangle-based model for terrain description,"This article describes a new hierarchical model for representing a terrain. The model, called a Hierarchical Triangulated Irregular Network (HTIN), is a method for compression of spatial data and representation of a topographic surface at successively finer levels of detail. A HTIN is a hierarchy of triangle-based surface approximations, where each node, except for the root, is a triangulated irregular network refining a triangle face belonging to its parent in the hierarchy. In this paper we present an encoding structure for a HTIN and we describe an algorithm for its construction.","Delaunay Triangulation, Boundary Edge, Adjacent Triangle, Triangulate Irregular Network, Constrain Delaunay Triangulation"
1992,A model for expressing topological integrity constraints in geographic databases,"A major reccuring issue in spatial databases is that of handling topological relationships. Although topology can be determined from object positions it is often explicitly stored in geographic information systems for reasons of efficiency and integrity. No formal database models for expressing topological relationships at the conceptual and logical levels are available. This paper describes such a model by defining geographic objects, geometric types, and elementary spatial operations and relationships. The model can be used to express topological integrity constraints, to define geographic object classes and to express spatial queries. Examples are given on how to use the model for the whole cycle of design and development of a geographic application, including requirements analysis, conceptual and logical modeling and implementation.","Object Class, Integrity Constraint, Geographic Information System, Topological Relationship, Land Parcel"
1992,Encoding spatial information: The evidence for hierarchical processing,"This paper describes how individuals process spatial information, how geographical location can affect the method of processing, how an understanding of spatial information processing is necessary to model spatial choices accurately, and how spatial variations in the way information is processed can be measured. Both nonhierarchical and hierarchical methods of processing information are discussed with the latter being the more likely means of processing spatial information. Results from an empirical example using migration flows within the U.S. suggest that individuals use a hierarchical method of spatial ordering and that there is a spatial pattern to the degree to which spatial information is processed hierarchically. This pattern is shown to be related to the amount of spatial information available to an individual.","Spatial Information, Migration Flow, Central Origin, Hierarchical Theory, Distance Judgement"
1992,Is there a relationship between spatial cognition and environmental patterns?,"One aspect of a fundamental theory of spatial representations is human-cognitive representation. This research includes a review of cognitive models of spatial knowledge across disciplines, upon which a proposed comprehensive model is based. This model includes geographic facts, route, and configurational knowledge as kinds of (spatial) geographical knowledge. This research also investigates the acquisition of spatial knowledge. An experiment was designed to test the hypothesis that a regular environment (gridded road pattern) promotes the acquisition of metrical configurational knowledge from procedural knowledge and greater navigation experience, whereas an irregular environment (serpentine road pattern) does not. A irregular and regular environment were used in this study. Forty subjects performed orientation, distance, and location estimation tasks in each environment, and performance was compared. The results of the experiment were varied. There was, however, tentative support to suggest that the pattern of the environment does effect the accuracy of spatial knowledge.","Spatial Ability, Spatial Knowledge, Spatial Task, Knowledge Type, Geographical Knowledge"
1992,Counter-intuitive geographic ‘facts’: Clues for spatial reasoning at geographic scales,"‘Counter-intuitive’ geographic facts provide insight into spatial reasoning at geographic scales. Situations that are judged as counter-intuitive by many people probably result from ‘correct’ spatial reasoning based of distorted spatial knowledge that is common to populations. Systematic distortions of latitude and longitude are examined by asking subjects to judge whether certain cities were east or west (or, north or south) of a common city. When the proportion judging each city to be a certain direction is mapped, the isolines reveal systematic distortions of geographic configurations that are consistent with hierarchical knowledge representation and several prototype effects.","Geographic Fact, Spatial Reasoning, Systematic Distortion, Panama Canal, Geographic Knowledge"
1992,Spatial-linguistic reasoning in LEI,"In LEI, the Locality and Elevation Interpreter, lingusitic and geometric reasoning are joined to resolve natural language representations of locations as geodetic coordinates. The system uses the PAU (Parser and Understander) system to translate locality descriptions into semantic relations. The relations are then disambiguated by instantiation from USGS data bases. The project's goal is to replace operator intervention in locality interpretation.","Syntactic Category, Spatial Reasoning, Prepositional Phrase, Grammar Rule, Ground Object"
1992,User models and information theory in the design of a query interface for GIS,"The design of user interfaces has lacked a firm theoretical foundation. A solid user interface theory would be particularily helpful in complex systems, such as GIS. Information theory and user modelling are presented here as a promising approach to building such a theory. Their applicability is considered in the context of querying a geographical database. Different theories of information are reviewed and some misunderstandings are corrected. Any communication can be examined on three different levels: syntactic, semantic and pragmatic. The syntactic information of a message is its relative frequency within language without any concern for the meaning of the message. The semantic information content of a message is defined as how many different states of the universe distinguishable in the language it excludes logically. The pragmatic information is the personal meaning of the message to the sender and the receiver. User modelling methodology is presented as a way to handle pragmatic information. Research into user models is reviewed and the potential of GIS applications and further study are investigated.","Geographical Information System, Semantic Information, User Model, Query Interface, Syntactic Information"
1992,A conceptual model of wayfinding using multiple levels of abstraction,"Wayfinding is part of everyday life. This study concentrates on the development of a conceptual model of human navigation in the U.S. Interstate Highway Network. It proposes three different levels of conceptual understanding that constitute the cognitive map: the Planning Level, the Instructional Level, and the Driver Level. This paper formally defines these three levels and examines the conceptual objects that comprise them. The problem treated here is a simpler version of the open problem of planning and navigating a multi-mode trip. We expect the methods and preliminary results found here for the Interstate system to apply to other systems such as river transportation networks and railroad networks.","Conceptual Model, Geographic Information System, Spatial Reasoning, Railroad Network, Planning Level"
1992,Towards acquiring spatio-temporal knowledge from sensor data,"This paper presents an architecture for acquiring spatio-temporal knowledge. This architecture uses two different algorithms — generalization to interval (GTI) method and feature construction method — for learning from sensory/perceptual information. These methods generalize over positive/negative examples of target knowledge, and output a constraint program that can be used declaratively as a learned concept about spatio-temporal patterns, and procedurally as a method for reasoning about spatio-temporal relations. Thus our methods transform numeric spatio-temporal patterns to symbolic declarative/procedural representations. We have implemented these two algorithms with acorn, a system that acquires spatio-temporal knowledge by observing examples. In this paper, we give two examples from different domains -layout problems and robot-commands learning — to demonstrate the ability of the system and the flexibility of constraint programs for knowledge representation.","Spatial Relation, Constraint Program, Symbolic Representation, Layout Problem, Target Concept"
1992,Automatically acquiring knowledge by digital maps in artificial intelligence planning techniques,"Any ES research, in particular planner ES research, shows that knowledge acquisition is a bottleneck when building up the ES prototypes. From this viewpoint, the possibility of automatically acquiring knowledge for ES, at least with reference to special themes and problems, may be seen as constituting an interesting line of research.

Inductive and EBL methodologies, founded on quantitative and qualitative knowledge, are the main contributions that the ML (a branch of AI) makes to the above mentioned goal. Both approaches, even if very little investigated in the planning domain, seem to invite further research.

We refer in particular to the potentials of automatically learning by maps. Relating to the research on planner ES prototypes for urban environmental control, this paper intends to set up a preliminary discussion on the perspectives offered by the automatic interpretation of key variables in order to make elementary inferences concerning urban typologies and situations.","Contour Line, Environmental Category, Symbolic Description, Automatic Learning, Interval Domain"
1992,Machine induction of geospatial knowledge,"Machine learning techniques such as tree induction have become accepted tools for developing generalisations of large data sets, typically for use with production rule systems in prediction and classification. The advent of computer based cartography and the field of geographic information systems (GIS) has seen a wealth of spatial data generated and used for decision making and modelling. We examine the implications of inductive techniques applied to geospatial data in a logical framework. It is argued that spatial induction systems will benefit from the ability to extend their initial representation language, through feature and relation construction. The enormous search spaces involved imply a need for strong biasing techniques to control the generation of possible representations of the data for all but the most trivial of cases. A heavily constrained geospatial domain, topographic representation, is described as one simplified example of induction across a vector description of space.","Geographic Information System, Learning System, Geospatial Data, Declarative Knowledge"
1992,Treatment of qualitative geographic information in monitoring environmental pollution,"The inverse problem of material sources identification, with particular reference to air polluting sources and their detection from experimental data, is a difficult task to solve and it is classified as a typical illposed problem. The traditional approach to these problems uses the additional information available on the system in order to limit the number of solutions consistent with the data by means of regularization techniques. In this paper we propose a method that allows to find reliable solutions by treating qualitative spatial and geographic information. It is shown how to code in a general fuzzy optimization algorithm the experimental knowledge, quantitative models and the a-priori knowledge about territory configuration such as urban areas, lakes, parks and high-traffic motorways. The architecture of an automatic system that allows to handle the coupled qualitative and quantitative knowledge about the system is presented.","Membership Function, Solution Domain, Regularization Technique, Fuzzy Optimization, Fuzzy Constraint"
2001,A Geographer Looks at Spatial Information Theory,"Geographic information is defined as a subset of spatial information, specific to the spatiotemporal frame of the Earth’s surface. Thus geographic information theory inherits the results of spatial information theory, but adds results that reflect the specific properties of geographic information. I describe six general properties of geographic information, and show that in some cases specialization has assumed other properties that are less generally observed. A recognition of the distinction between geographic and spatial would allow geographic information theory to achieve greater depth and utility.","Geographic Information, Spatial Dependence, Geographically Weight Regression, Geographic Information System, Impossible World"
2001,True Grid,"The Renaissance architect, moral philosopher, cryptographer, mathematician, Papal adviser, painter, city planner and land surveyor Leon Battista Alberti provided the theoretical foundations of modern perspective geometry. Alberti’s work on perspective exerted a powerful influence on painters of the stature of Albrecht Dürer, Leonardo da Vinci and Piero della Francesca. But his Della pittura of 1435-36 contains also a hitherto unrecognized ontology of pictorial projection. We sketch this ontology, and show how it can be generalized to apply to represantive devices in general, including maps and spatial and non-spatial databases.","Linear Perspective, Objective Array, Target Grid, Transparent Grid, Fiat Object"
2001,A Taxonomy of Granular Partitions,"In this paper we propose a formal theory of granular partitions (ways of dividing up or sorting or mapping reality) and we show how the theory can be applied in the geospatial domain. We characterize granular partitions at two levels: as systems of cells, and in terms of their projective relation to reality. We lay down conditions of well-formedness for granular partitions, and we define what it means for partitions to project transparently onto reality in such a way as to be structure-preserving. We continue by classifying granular partitions along three axes, according to: (a) the degree to which a partition represents the mereological structure of the domain it is projected onto; (b) the degree of completeness and exhaustiveness with which a partition represents reality; and (c) the degree of redundancy in the partition structure. This classification is used to characterize three types of granular partitions that play an important role in spatial information science: cadastral partitions, categorical coverages, and the partitions involved in folk categorizations of the geospatial domain.","Categorical Coverage, Minimal Cell, Attribute Domain, Master Condition, Spatial Partition"
2001,A Geometric Theory of Vague Boundaries Based on Supervaluation,"The representation of geographical objects with vague or fuzzy boundaries still poses a challenge to current geographical information systems. The paper presents a geometric account to deal with spatial vagueness. This approach is based on ideas of the theory of supervaluation. To capture vague spatial information current geographical information systems mainly employ fuzzy set theory and fuzzy logic. The proposed geometric theory is contrasted with fuzzy theories regarding the representation of vague spatial objects and the inferences that can be drawn about the objects. Opposed to fuzzy theories, the proposed theory does not rely on a numerical representation to model spatial vagueness, but is still compatible with it. Therefore, the approach is able to support spatial databases in qualitative spatial inferences.","Axiomatics, Geometry, Geography, Spatial Reasoning, Vagueness"
2001,When Tables Tell It All: Qualitative Spatial and Temporal Reasoning Based on Linear Orderings,"In [8] Bennett, Isli and Cohn put out the following challenge to researchers working with theories based on composition tables (CT): give a general characterization of theories and relational constraint languages for which a complete proof procedure can be specified by a CT. For theories based on CTs, they make the distinction between a weak, consistency-based interpretation of the CT, and a stronger extensional definition. In this paper, we take up a limited aspect of the challenge, namely, we characterize a subclass of formalisms for which the weak interpretation can be related in a canonical way to a structure based on a total ordering, while the strong interpretations have the property of aleph-zero categoricity (all countable models are isomorphic).

Our approach is based on algebraic, rather than logical, methods. It can be summarized by two keywords: relation algebra and weak representation.","temporal reasoning, spatial reasoning, relation algebra, weak representation, complete theory"
2001,Computational structure in three-valued nearness relations,"The development of cognitively plausible models of human spatial reasoning may ultimately result in computational systems that are better equipped to meet human needs. This paper explores how human subjects perceive the qualitative spatial relation nearness within an environmental space. Based on experimental data, a three-valued nearness relation is analysed in two stages. First, the results are analysed with special reference to the existence of subsets of candidate landmark places, from which nearness relations between other places may be partially inferred. Second, the desirable properties of such landmark sets are considered and some of their formal properties are presented. These properties are then considered in the light of the data furnished by the experiment. The paper concludes with a discussion of the significance of the analyses and the scope for further work in this area.","Nearness, qualitative spatial reasoning, landmarks, data mining, similarity relation"
2001,Qualitative Spatio-Temporal Continuity,We explore different intuitive notions of spatio-temporal continuity and give a formal characterization of continuity for space-time histories. We investigate the types of transitions possible for the RCC-8 topological relations under each distinct notion of spatio-temporal continuity and provide a hierarchy of conceptual neighbourhood diagrams.,"spatio-temporal reasoning, continuity, space-time, transitions, conceptual neighbourhoods"
2001,Application of Supervaluation Semantics to Vaguely Defined Spatial Concepts,Application of Supervaluation Semantics to Vaguely Defined Spatial Concepts,"vagueness, supervaluation semantics, concept definitions, logic, spatial information systems"
2001,Spatial and Cognitive Simulation with Multi-agent Systems,"The simulation of human behavior in space is an extremely interesting and powerful research method to advance our understanding of human spatial cognition and the interaction of human beings with the environment. Multi-agent systems are an emerging computing paradigm for the construction of such simulations. During the last two years, we have used multiagent simulations for three different investigations of spatial and cognitive questions:

use of signage in airports to guide travelers to the gate,

communication with maps,

linkage between physical reality and the cadastral (legal) system.

In this paper we will report on these efforts. We first discuss the concept of multi-agent systems and explain the special type of multi-agent system used for simulation of cognitive and spatial situations. The following three sections each review one of the three simulations we have constructed. The last section identifies the similarities in these approaches and lists questions we hope to investigate in the future with this method.","Spatial cognition, multi-agent simulation, computational models"
2001,A Virtual Test Bed in Support of Cognitively-Aware Geomatics Technologies,"Current efforts concerned with research at the interface between cognitive science and geographic information science or geomatics is beginning to shift towards a larger focus on how the theory developed may be applied to concrete applications. In order to provide some quality control on the development and evaluation of cognitively-aware geomatics systems and technologies, this paper proposes to consolidate current theory into a virtual test bed. The virtual test bed requires an appropriate and adequate categorization of spatial cognitive behaviors, itself a non-trivial task. In addition, the test bed must be sufficiently general to evaluate different kinds of cognitively aware systems. In this paper, three characteristics of such systems are discussed – their plausibility, their compatibility and their scope. The relationships between these concepts and the Turing test are also explored. A tentative categorization scheme, based on information processing needs, is then proposed as an initial framework for developing a virtual test bed. Several design issues are also presented, and the paper finishes with the presentation of two case studies that illustrate how the test bed might be used.","Spatial cognition, geomatics, geographic information science, computation, evaluation, technologies, systems, applications"
2001,Evaluating the Usability of the Scale Metaphor for Querying Semantic Spaces,"Information visualizations have become popular tools for extracting knowledge from large bodies of information. Very little is known on the usability of such ‘visual knowledge tools’ for information access. The goal of this paper is to show the usability of the spatial metaphor ‘scale’ to access a large semantic document space. An experiment was conducted to examine whether different user groups can associate graphical changes in resolution in spatialized views with changes of level of detail in an index hierarchy of a digital document collection. Test participants were asked to utilize zoom tools to explore a spatialized subset of the GeoRef database, an extensive collection of geology and earth sciences documents. The outcomes of the experiment suggest that people are able to associate graphical changes in resolution of spatialized views (zooms) with changes in levels of detail of a document collection (hierarchical order). These results are independent of user group membership, but for some displays it takes people longer to make a decision.","Spatialization, scale, usability, semantic spaces, spatial metaphors"
2001,A Semantic Map as Basis for the Decision Process in the www Navigation,"In the physical world, decision making in common navigation strategies is based on a mental map which includes a mental representation of geometric features such as distances and directions between places. We propose that decision making in the web is also based on a mental map. Contrary to the physical world navigation, the mental map used for web navigation describes a part of the agent’s epistemology of the world, hence consists of semantic relations between concepts and includes hardly any geometrical features. We focus on the navigation situation where the detailed web structure is unknown to the agent before the navigation, therefore the agent’s decisions are completely based on his semantic mental map. We give a potential structure of the agent’s mental map, simulated using WordNet, and simulate the agent’s decision making process during the web navigation. The simulation of the strategies allows to assess existing web environments with regard to ease of navigability.","semantic map, web navigation strategy, decision process, epistemology, web searching"
2001,Pragmatism and Spatial Layout Design,"Design problems address multiple, ill-defined goals in a computationally intractable search space. Our approach to spatial layout design capitalizes on devices that people use to control search. We advocate multiple passes at increasing, class-based levels of granularity, with heavy infusions of knowledge. Our approach makes brief, inexpensive searches from good starting points, seeking ideas that satisfy multiple criteria simultaneously. The result is an autonomous program for two-dimensional layout design of recreational parks.","spatial design, constraint-based reasoning, cognitive structure of spatial knowledge, social and cultural organization of space, structure of geographic information"
2001,Spatial Frames of Reference Used in Identifying Direction of Movement: An Unexpected Turn,"Despite extensive interest in the role of frames of reference in spatial representation, there is little consensus regarding the cognitive effort associated with various reference systems and the cognitive costs (if any) involved in switching from one frame of reference to another. Relevant to these issues an experiment was conducted in which accuracy and response latency data were collected in a task in which observers verified the direction of turns made by a model car in a mock city in terms of four different spatial frames of reference: fixed-observer (relative-egocentric), fixed-environmental object (intrinsic-fixed), mobile object (intrinsic-mobile), and cardinal directions (absolute-global). Results showed that frames of reference could be differentiated on the basis of response accuracy and latency. In addition, no cognitive costs were observed in terms of accuracy or latency when the frames of reference switched between fixed-observer vs. global frames of reference or between mobile object and fixed environmental object frames of reference. Instead, a distinct performance advantage was observed when frames of reference were changed. This unexpected result is attributed to a phenomenon analogous to release from proactive inhibition.","frames of reference, orientation, spatial perspective, spatial relations"
2001,The Role of a Self-Reference System in Spatial Navigation,"The self-reference system architecture developed to explain the retrieval of spatial knowledge from long-term memory is reviewed and expanded to include navigational tracking as one of its operations. A distinction is made between the operation of the self-reference system at a perceptual-motor and a representational level, and a case is made that if a representational self-reference system is to function as a navigational tracking device, it must be closely connected with the perceptual-motor level. Existing empirical evidence is reviewed and new empirical evidence is reported that explores the connections between the two levels of functioning. Additionally, the operations that would enable a self-reference system to function as a tracking device are derived from an animal model of sense of direction. The ideas explored in this manuscript rely on the premise that spatial memory systems evolved in the service of spatial navigation.","Self-reference system, navigational tracking device, cognitive map, geocentric heading, path integration, inertial dead reckoning"
2001,The Utility of Global Representations in a Cognitive Map,"In this paper we propose the use of small global memory for a viewer’s immediate surroundings to assist in recognising places that have been visited previously. We call this global memory a Memory for the Immediate Surroundings (MFIS). Our previous work [1, 2] on building a cognitive map has focused on computing a representation for the different local spaces the viewer visits. The different local spaces which are computed can be connected together in the way they are experienced to form a topological network which is one aspect of a cognitive map of the spatial environment. The problem with topological representations is that using them one cannot easily detect that one is reentering a previously visited part of the environment if it is approached from a different side to the one used previously. Thus we have developed a cognitive map representation which comprises an MFIS working in cooperation with the topological network. The idea that a global map is present as part of the cognitive mapping process is increasingly appealing. Robotics researchers have used them from the early days of autonomous mobile robots. However, they have shown that it is difficult to compute an accurate global representation because of errors. There is now increasing evidence that a global map is used in animals and many simulation models have incorporated the use of such a map. In this paper we review these works, discuss this notion of a global map in cognitive mapping, and show how one could be computed with minimum effort.","cognitive map, path integration, global spatial representation, local spatial representation"
2001,How Spoken Language and Signed Language Structure Space Differently,"Linguistic research to date has determined many of the factors that structure the spatial schemas found across spoken languages. It is now feasible to integrate these factors and to determined the comprehensive system they constitute for spatial structuring in spoken language. This system is characterized by several features: It has a relatively closed universally available inventory of fundamental spatial elements that are combined to form whole schemas. It has a relatively closed set of categories that these elements appear in. And it has a relatively closed small number of particular elements in each category, hence, of spatial distinctions that each category can ever mark. An examination of signed language shows that its structural representation of space systematically differes from that in spoken language in the direction of what appear to be the structural characteristics of scene parsing in visual perception. Such differences include the following: Signed language can mark finer spatial distinctions with its inventory of more structural elements, more categories, and more elements per category. It represent these distinctions independently in the expression, not bundled together into “pre-packaged” schemas. And its spatial representations are largely iconic with visible spatial characteristics. The findings suggest that instead of some discrete whole-language module, spoken language and signed language are both based on some more limited core linguistic system that then connects with different further subsystems for the full funtioning of the two different language modalities.","Language Modality, Ground Object, Spatial Schema, Spatial Element, Signed Language"
2001,Two Path Preposition: Along and Past,"We present results from a series of experiments, where relevant factors for theuse of path prepositions were examined. We were especially interested in the concepts behind the German prepositions “entlang” and “vorbei” (similar to “along” and “past”). After exploring the basic properties human beings attribute to these prepositions, we systematically varied those properties to investigate their impact on the selection process and the corresponding speech production latency. The results indicate that parallelism and distance between the outline of a reference object and a trajectory are key concepts in this context.","communication of spatial information, spatial reasoning, empirical studies, path prepositions"
2001,Ambiguity in Acquiring Spatial Representation from Descriptions Compared to Depictions: The Role of Spatial Orientation,"Adults can make judgments about multiple spatial relations based on information gained from different kinds of input, including maps, descriptions, and through navigation [1]. However, factors such as spatial orientation influence performance. We investigated spatial orientation effects on learning from different media. In Experiment 1, participants learned a house from a map or a description. They then judged surrounding locations while imagining being in each room and they reconstructed the house. Participants who learned from a description performed worse on both tasks. Errors suggested they interpreted the term “in front” differently than intended [2]. Experiment 2 tested this hypothesis by examining two factors influencing interpretation of “in front”, specific interpretation instructions and orientation information. The orientation information influenced performance more than the explicit interpretation of “in front.” Taken together, the results indicate multiple influences on the spatial reference frame participants use to interpret spatial terms.","spatial descriptions, reference frame, spatial orientation, map use, spatial judgments, perspective taking"
